   600+ AI Tools,,,
,,,
Name,Category,Website,Description
Dream Up (Deviant Art),Art,https://www.dreamup.com,DeviantArt DreamUp™ lets you create AI art knowing that creators and their work are treated fairly. Create any image you can imagine with the power of artificial intelligence! Try DreamUp with 5 free prompts.​
NightCafe Studio,Art,https://creator.nightcafe.studio,AI Art Generator. Create amazing artworks using the power of Artificial Intelligence.
Midjourney,Art,https://www.midjourney.com/home/,"AI art generator based on Stable Diffusion. Their website describes them as ""an independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species."""
Artbreeder,Art,https://www.artbreeder.com,Craft ai art like never before
Wombo,Art,https://www.wombo.art,"Create beautiful artwork using the power of AI. Enter a prompt, pick an art style and watch WOMBO Dream turn your idea into an AI-powered painting in seconds."
Neural.love Art Generator,Art,https://neural.love,Free AI Art Generator that's generated over 5 million images. Imagine: you create a stunning masterpiece by throwing 2-3 words to AI. It's not SciFi anymore.
Playground AI,Art,https://playgroundai.com,"Playground AI is a free-to-use online AI image creator. Use it to create art, social media posts, presentations, posters, videos, logos and more."
Libraire,Art,https://libraire.ai,The largest library of AI-generated images. Search through 10M images and prompts generated with Stable Diffusion.
Mage,Art,https://www.mage.space,"Free, fast & unfiltered Stable Diffusion, the text-to-image AI🔥"
ArtroomAI,Art,https://artroom.ai,Download the local GUI for Stable Diffusion. Make beautiful AI generated art without touching a single line of code.
Dreamlike.art,Art,https://dreamlike.art,"Create stunning original art in seconds with the power of AI. Magical AI tools. Create endless original images, modify existing ones, and more."
DiffusionBee,Art,https://diffusionbee.com,The easiest way to generate AI art on your computer with Stable Diffusion.
Civitai,Art,https://civitai.com,"Civitai is the only Model-sharing hub for the AI art generation community! Free to use, open source, and continually improving."
Lexica,Art,https://lexica.art,The Stable Diffusion search engine.
AI Picasso,Art,https://aipicasso.studio.site,"Create Art with Powerful AI. It generates an image from the text you enter, just as you expect using an AI called Stable Diffusion. AI completes the filled area. You can edit filled areas with prompts."
Fy! Studio,Art,https://www.iamfy.co/studio,"Turn your ideas into unique wall art. Just type in your ideas, and we'll turn them into a never seen before piece of wall art."
DaVinciFace,Art,https://www.davinciface.com,The only AI that creates a DaVinci-styled portrait from your photo.
ArtHub,Art,https://arthub.ai,"Crowdsourced AI art. Explore AI generated designs, images, art and prompts by top community artists and designers."
Super Prompt,Art,https://superprompts.com,Create a beautiful gallery for your AI art without leaving Twitter.
PicSo,Art,https://picso.ai,Text to AI art maker. Turn your words into incredible and high-quality artwork.
Daft Art,"Art
",https://daftart.ai,AI album art generator. Create the album cover you've always dreamed of!
Clipdrop,"Art
",https://clipdrop.co,"The ultimate ecosystem of apps, plugins & resources for all creators, powered by artificial intelligence. Create stunning visuals in seconds."
Openart,"Art
",https://openart.ai,"Search 10M+ of AI art and prompts generated by DALL·E 2, Midjourney, Stable Diffusion"
Altered,Audio Editing,https://www.altered.ai,Augment Your Voice. Our unique technology allows you to change your voice to any of our carefully curated portfolio or custom voices and create compelling professional voice performances.
Adobe Podcast,Audio Editing,https://podcast.adobe.com,"Provides 2 free quick tools to enhance audio for your content. Enhance speech- Enhance speech by removing all background noise and echo. Mic Check - Unlock quality sound from your microphone. The main product promises to provide AI-powered audio recording and editing, all on the web and is under waitlist."
Podcastle,Audio Editing,https://podcastle.ai,"The One-Stop Shop for Broadcast Storytelling. Great AI tool for podcasters or anyone who deals with long-form video creation. Studio-quality recording, AI-powered editing, and seamless exporting – all in a single web-based platform."
Cleanvoice AI,Audio Editing,https://cleanvoice.ai,"Stop wasting hours editing your podcast. Cleanvoice is an artificial intelligence which removes filler sounds, stuttering and mouth sounds from your podcast or audio recording."
Audio Strip,Audio Editing,https://www.audiostrip.co.uk/,Near Perfect Instrumental and Vocal Isolation for Free!
Voicemod,"Audio Editing
",https://www.voicemod.net/,Download now for FREE Voicemod a funny & scary voice changer app. A voice transformer and modifier with effects that makes you sound like a girl or a robot
DreamPic.AI,Avatars,https://dreampic.ai/,"AI-Generated Pictures Starring You Create AI-generated avatars, user pics, and profile pictures for you and your friends. Upload your photos and let AI do the job. Powered by Stable Diffusion and DreamBooth."
Vana Portrait,Avatars,https://portrait.vana.com,You are a work of art. “Portrait” by Vana is a generative art studio that can create self-portraits of you in infinite styles.
Hairgen AI,Avatars,https://www.hairgen.ai,Ever wonder how you would look with a hair transplant? Get a preview of how you would look before you spend thousands on a FUE/FUT procedure. See your hairline lowered with AI right now.
Avatarify,Avatars,https://avatarify.art/,"Create personalized avatars using artificial intelligence. Their technology allows you to generate lifelike representations of people, animals, and even fictional characters. Just pay for the GPUs you rent. If you don't like it, they re-render the avatars."
AI Time Machine,Avatars,https://www.myheritage.com/ai-time-machine,Upload photos of yourself to create incredible AI-generated images. Travel through history with the AI Time Machine.
Beb.ai,Avatars,https://beb.ai,"Beb.ai allows you to generate avatars of yourself, animals, or famous characters. Receive endless creative content for your brand."
PictoDream,Avatars,https://pictodream.com/,Generate images of yourself with AI. Put anyone in any style or setting using a simple text description.
Ready Player Me,Avatars,https://readyplayer.me/,"Cross-game Avatar Platform for the Metaverse. One avatar, many worlds to explore."
Gemsouls,Avatars,https://www.mygemsouls.com/,"Meet, befriend, and create virtual characters. On a mission to bring gem-like virtual humans to life."
Theoasis,Avatars,https://theoasis.com/,Create a photorealistic avatar that you can use on every video platform.
Arti.pics,Avatars,https://www.arti.pics/,Arti.pics is AI-powered avatar maker. It allows you to upload a few photos of yourself and generates more than 200 cool-looking avatars in different styles.
Profile Picture AI,Avatars,https://www.profilepicture.ai,"Create your perfect profile picture with AI. Your profile picture is the first thing people see when they look at your profile. We use artificial intelligence to generate an image of you that looks perfect and captures who you are. You can be anything, anywhere, or anyone!"
NeuralStudio,Avatars,https://neural.cam/studio,"Neural Studio is an all in one Photo & Art Studio, powered by the latest AI technologies, that empowers creators to reach their creative goals easily."
Character AI,Avatars,https://beta.character.ai,Where intelligent agents live!
PhotoAI,Avatars,https://photoai.me/,Create AI photos of yourself. Generate 30 photos of yourself in our best artistic styles.
Avatar AI,Avatars,https://avatarai.me,Create your own AI-generated avatars.
Digirama,Avatars,https://apps.apple.com/us/app/character-creator-digirama/id6444673721,Digirama is an AI character creator available as a mobile app.
Inworld,Avatars,https://www.inworld.ai,"Lifelike AI characters that can carry on open-ended conversations. Ask them anything. Built for gaming, entertainment, and virtual worlds."
HairstyleAI,Avatars,https://www.hairstyleai.com,Use our powerful AI technology to generate hairstyles. See which one suits you best. Works for male and female haircuts.
In3D,Avatars,https://in3d.io/,"Turn people into realistic avatars! Realistic and customizable avatars created with a phone camera within a minute for your metaverse, game, or app."
Reface AI,"Avatars
",https://hey.reface.ai,"An AI app to face-swap in GIFs and videos. Their AI Avatar feature allows the creation of high-quality artwork-like portraits (available on iOS & Android). Upload 10 photos, and wait for an hour. Get 48 unique artworks with yourself as the main character in various art styles — from superheroes to cyberpunk."
Unrealme,"Avatars
",https://unrealme.io,Get AI generated images of you.
Lensa,"Avatars
",https://prisma-ai.com/lensa,"Lensa is a picture editor for selfies and photo retouching. The app has many filters for pictures to get a sweet selfie, remove any blur background or do any other necessary editing. With its simple features and photo-effects, you can make every photo perfect 365 days a year. Capture memorable moments and do the necessary photo editing to freeze each moment in time. You don't need a photo lab or dark room because within seconds your peachy selfie is ready."
CodeSquire,Code Assistant,https://codesquire.ai,"AI code writing assistant for data scientists, engineers, and analysts. Get code completions and suggestions as you type."
Buildt,Code Assistant,https://www.buildt.ai,"AI-powered search to find code by searching for what it does, not just what it is. Once you find the part of the codebase their AI allows you to make changes simply by describing what you want"
"Hey, GitHub!",Code Assistant,https://githubnext.com/projects/hey-github,This tool hleps you write code without touching the keyboard. It uses your voice to code without typing by talking with GitHub copilot.
WhatTheDiff,Code Assistant,https://whatthediff.ai,Your AI-powered code review assistant. Save costly developer time by automating pull request summaries. Open a pull request and get a summary of the changes in seconds. Instantly understand the implications of small pull requests and get a huge headstart on big ones.
Maverick,Code Assistant,https://www.trymaverick.com,"Maverick is a code completion tool powered by AI. Built at Yurts, Maverick focuses on delivering the best code completion on your local machine without reaching out to any APIs or knowledge bases."
Continual,Code Assistant,https://continual.ai/,Operational AI for the Modern Data Stack. Continual is the leading operational AI platform for the modern data stack. Build predictive models that never stop improving without complex engineering. Try it for free.
Lookup,Code Assistant,https://app.uselookup.com,"Get answers from your data in seconds. Lookup is the AI-powered analytics platform that helps you get from data to insight 10X faster. Import your data, ask questions, get results instantly."
Clippy AI,Code Assistant,https://marketplace.visualstudio.com/items?itemName=clippy-ai,Clippy AI (VS Code Extension) is a simple wrapper around OpenAI Codex. It allows you to send Codex your current file as well as some instructions in plain-text English. It then opens a diff view in your editor so you can easily see the suggested changes and accept or reject them.
Mutable,Code Assistant,https://mutable.ai,Build fast with production quality using AI.
Fig AI,Code Assistant,https://fig.io/user-manual/ai,"A seamless add-on to your existing terminal, Fig integrates with the most popular terminals, shells & IDEs."
BlackBox AI,Code Assistant,https://www.useblackbox.io/,BlackBox AI is a AI powered coding assistant so you can code 10x faster. It enables you to turn any question into code and features like extract code from any video and code autocompletion.
CodeAssist,Code Assistant,https://plugins.jetbrains.com/plugin/20085-codeassist,"CodeAssist (for Intellij) is an AI assistant / chatbot / copilot for programming. It generates or changes the code, given a description of the changes that you want to make. After installing, you can open it by clicking ""CodeAssist"" tab in the bottom-left corner. CodeAssist works with all popular programming languages."
Programminghelper,Code Assistant,https://www.programming-helper.com/,Code faster with the help of AI. Generate code just by typing a text description. AI will create the code for you. Test it now.
Copilot,Code Assistant,https://github.com/features/copilot,"Your AI pair programmer. GitHub Copilot uses the OpenAI Codex to suggest code and entire functions in real-time, right from your editor."
AskCodi,Code Assistant,https://www.askcodi.com,"Write Syntax, Comments, and Tests. Faster. Easier. Better. AskCodi is made keeping in mind the needs of developers to avoid redundant tasks, therefore resulting in less time spent on development and more time to execute."
Amazon CodeWhisperer,Code Assistant,https://aws.amazon.com/codewhisperer/,Amazon CodeWhisperer is a machine learning (ML)–powered service that helps improve developer productivity by generating code recommendations based on their comments in natural language and code in the integrated development environment (IDE).
Cheat Layer,Code Assistant,https://cheatlayer.com/,No-Code Business Automation. Cheat layer solves impossible business automation problems using a combination of no-code tools and machine learning to function as your personal software engineer.
AI CLI,Code Assistant,https://github.com/abhagsain,Open Source GPT -3 Powered CLI The current prompt length is ~840 tokens and the pricing for text-davinci-002 is $0.02 for 1K tokens which is ~$0.017/command. We'll see if we can improve the response as well as reduce the per-command-cost with fine-tuning.
CodeGeeX,Code Assistant,https://huggingface.co/spaces/THUDM/CodeGeeX,"CodeGeeX is a large-scale multilingual code generation model with 13 billion parameters, pre-trained on a large code corpus of more than 20 programming languages. CodeGeeX supports 15+ programming languages for both code generation and translation"
Maverick,Code Assistant,https://marketplace.visualstudio.com/items?itemName=YurtsAI.maverick&,"Maverick is a code completion tool powered by AI. Built at Yurts, Maverick focuses on delivering the best code completion on your local machine without reaching out to any APIs or knowledge bases."
Tabnine,Code Assistant,https://www.tabnine.com,"Whether you’re part of a team, or a developer working on your own, Tabnine will help you write code faster – all in your favorite IDE."
Spellbox,Code Assistant,https://spellbox.app/,AI coding assistant for busy programmers. Solve any programming or engineering problem with A.I in seconds
Stenography,"Code Assistant
",https://stenography.dev/,Finally. Automatic Documentation.
Replit,"Code Assistant
",https://replit.com,"Replit recently added a feature called Ghostwriter that uses AI to complete code. Write and run code in 50+ languages in your browser with Replit, a powerful IDE, compiler, & interpreter."
Codeium,"Code Assistant
",https://www.codeium.com/,"Codeium is the modern coding superpower, a code acceleration toolkit built on cutting edge AI technology. With easy integration into editors, you can focus on being the best software developer, not the best code monkey."
Hypotenuse ai,Copywriting,https://hypotenuse.ai/,"Turn a few keywords into original, insightful articles, product descriptions and social media copy with AI copywriting—all in just minutes. Try it free today."
Bertha.ai,Copywriting,https://bertha.ai,"The best value AI Copywriting assistant there is - Fact! Get 5,000 Words free forever. Bertha AI - the copywriting assistant for WordPress and beyond."
Digital First AI,Copywriting,https://digitalfirst.ai,Create marketing plans in seconds using AI. Find the best growth-hacking tactics for your business with AI. Switch marketing to autopilot and grow.
Botowski,Copywriting,https://www.botowski.com/,Botowski is your new personal AI copywriter.
VEG3,Copywriting,https://veg3.ai,Join the beta test for the world's first vegan artificial intelligence marketing assistant.
Daydrm.ai,Copywriting,https://www.daydrm.ai,AI tool for creative advertising ideas. Concepts-on-demand for creatives and agencies. A large language model trained on human-written creative advertising campaigns.
Jasper AI,Copywriting,https://jasper.ai,"Create content 10x faster with artificial intelligence. Jasper is the highest quality AI copywriting tool with over 3,000 5-star reviews. Best for writing blog posts, social media content, and marketing copy."
Peppertype.ai,Copywriting,https://www.peppertype.ai,Your virtual content assistant that helps you generate quality content within seconds.
unbounce,Copywriting,https://unbounce.com,"Ideate, iterate, and write custom, high-quality, engaging professional copy. Between the web app, handy desktop app and Chrome extension, bring Smart Copy with you across your favorite tools."
Easy-Peasy.AI,Copywriting,https://easy-peasy.ai/,"Get your copywriting done faster and easier with 🤖 AI tools. You can also use our AI avatar generator to generate avators. Easy-Peasy.AI believes that everyone has a story to tell. With our AI copywriting tools, we help you tell your story in the most engaging way possible."
Simplified,Copywriting,https://simplified.com/ai-writer,"Simplified AI Writer is a free ai copywriting assistant that generates high-quality content for blogs, articles, product descriptions, websites & social media."
CopyMonkey,Copywriting,https://copymonkey.ai/,CopyMonkey generates and optimizes Amazon listings in seconds. AI helps place all of the important keywords in your Amazon listing to get you ranking organically on the first page.
Anyword,Copywriting,https://anyword.com,Anyword’s AI writing assistant generates effective copy for anyone. Take the guesswork out of your marketing text with an AI copywriting tool that converts.
Lek,Copywriting,https://lek.ai/,Lek is an AI copywriting tool. It's the fastest and easiest way to create content and copy. Lek AI helps you write anything for everything.
Copysmith,Copywriting,https://copysmith.ai/,The chosen AI Copywriting Software for eCommerce teams & agencies. Generate more revenue than ever before. Sign up for your free trial today.
Copy.ai,Copywriting,www.copy.ai,"Get great copy that sells. Copy.ai is an AI-powered copywriter that generates high-quality copy for your business. Get started for free, no credit card required! Marketing simplified!"
Cowriter,Copywriting,https://cowriter.org/,Tired of staring at a blank screen? Meet your AI copywriter that can create inspiring creative content.
Contents,Copywriting,https://contents.com,Power up your content strategy. The Generative AI platform makes content creation easy and built for performance.
Creator AI,Copywriting,https://www.creaitor.ai/,"Creaitor helps you write content in a more powerful, emotionally expressive way."
Adcreative.ai,Copywriting,https://adcreative.ai,Generate conversion focused ad and social media post creatives in a matter of seconds. Get better results while saving time.
WiziShop,Copywriting,https://wizishop.com/ai,"Use WiziShop's Artificial Intelligence to write your e-commerce product descriptions, find inspiration for your future articles, easily go international, and generate more traffic to your store!"
Rytr,Copywriting,https://rytr.me/,"Rytr is an AI writing assistant that helps you create high-quality content, in just a few seconds, at a fraction of the cost!"
Unbound,Copywriting,https://www.unboundcontent.ai,"Automate content creation for your small business. Leverage all the best AI generation tools in one place designed to automate content creation for small business, online shops and creators."
texti,"Copywriting
",https://texti.app,AI that lives in your browser! It will cooperate with you to boost your content quality!
Ocoya,"Copywriting
",https://www.ocoya.net,"A platform to create, auto-generate and schedule content quicker. Content marketing, copywriting and social media in minutes!"
BotDistrikt,Customer Support,https://www.botdistrikt.com,BotDistrikt is a complete chatbot solution for your business.
Poly ai,Customer Support,https://poly.ai/,"Superhuman Voice Assistants. Answer every call immediately, 24/7. No agents needed."
Kore.ai,Customer Support,https://kore.ai/,"Driving AI-Optimized Customer and Employee Experiences. We are the world leader in Conversational AI technology, helping companies deliver extraordinary experiences for their customers, agents, and employees on voice and digital channels."
viable,Customer Support,https://www.askviable.com/,Automate your qualitative data analysis without compromising quality.
Vee,Customer Support,https://vee.ai/en/,"An intelligent consultant people enjoy talking to. Vee has already spoken with 5 million Poles, effectively implementing business processes for dozens of companies from various industries."
Quickchat,Customer Support,https://www.quickchat.ai,"Quickchat automates processes such as sales, customer support, onboarding or online booking."
Forethought,Customer Support,https://forethought.ai/,Forethought's AI platform automates and optimizes the entire support ticket lifecycle. Lowers support costs while providing top-tier service in every customer interaction.
Typewise,Customer Support,https://typewise.app,Boosting customer service and sales productivity. Our powerful AI solutions save time & improve communication for both users and companies. Book a demo today!
Ebi.Ai,Customer Support,https://ebi.ai,Reduce call volumes and improve customer experiences with an AI assistant.
Harvey,Customer Support,https://hiverhq.com/harvey-ai-customer-support,The AI Sidekick that makes teams more productive
Cohere,Customer Support,https://cohere.io/,"See and control your users’ screens, with zero setup. Resolve issues faster than ever before, protect and grow revenue, and make customers fall in love with your product"
Maya,Customer Support,https://maya.ai,"Everyone wins with AI-driven personalization: customers, banks, and merchants."
Tiledesk,Customer Support,https://tiledesk.com/,Combine Free Live Chat with Open-Source Chatbots to boost ROI. Integrate Chatbots with WhatsApp or other channels to have one inbox for all communications.
Xokind,"Customer Support
",https://www.xokind.com/,"Powerful AI agents for Customer Support, Travel, & Sales. XOKind offers an AI platform for product & data teams to leverage Machine Learning and large AI models via a simple API endpoint."
Delve,"Customer Support
",https://www.delve.ai/,Create personas automatically for your business and for your competitor businesses
Kaizan,"Customer Support
",https://kaizan.ai/,Kaizan is a Client Intelligence Platform for Client Success teams to retain and grow revenue
echowin,"Customer Support
",https://echo.win/,"Automate Incoming Calls With AI. Get a new phone number or bring your existing one. Your customers will call our AI-powered system that will help them get the answers they need, perform business tasks or connect them to the right person if needed. You can focus on running your business while we handle the calls!"
Puzzle,"Customer Support
",https://www.puzzlelabs.ai/,"The AI-powered glossary for your community and customers. Bring clarity to your product, service, and community with a superpowered glossary."
Magician (Figma),Design Assistant,https://magician.design/,A magical design tool for Figma powered by AI. Magician is a Figma plugin that lets you design with the power of AI to do everything from copywriting to generating unique icons from text. Each magic spell works alongside you to expand your creativity and imagination as you design.
Uizard,Design Assistant,https://uizard.io/,"Design digital products, mobile apps, website mockups, and wireframes in minutes with Uizard, the world's first AI-powered design tool! Sign up today."
Clickable,Design Assistant,https://www.clickable.so,"Beautiful, brand-consistent, and highly converting ads for all marketing channels. No design experience needed."
Diagram,Design Assistant,https://diagram.com,Design Smarter. Magical new ways to design products.
Microsoft Designer,Design Assistant,https://designer.microsoft.com,Stunning designs in a flash with Microsoft Designer. Start with a simple text description and create images for your design!
Designs AI,Design Assistant,https://designs.ai/,"Create logos, videos, banners, mockups with A.I. in 2 minutes."
Pinegraph,Design Assistant,https://pinegraph.com/,"Become an artist with Pinegraph. Bring your imaginations to life with the power of the Pinecasso AI. Just describe what you want, and Pinecasso will do the rest."
Pattern Maker AI,Design Assistant,https://patternmakerai.com/,Generate seamless vector patterns using artificial intelligence. You can also browse other generated patterns that have been made public.
Illustroke,Design Assistant,https://illustroke.com/,Stunning SVG illustrations from text prompts Create something unique with ours text to SVG AI tool.
Pictorial,Design Assistant,https://pictorial.ai/,The first application of Generative AI that's actually useful for your business. Struggling with your site's visuals? Let the AI take care of it.
Hotpot.ai,Design Assistant,https://hotpot.ai,"Hotpot helps you create professional graphics and pictures. AI tools allow experts and consumers to spark creativity and automate drudgery. Easy-to-edit templates empower anyone to create device mockups, social media posts, marketing images, app icons, and other work graphics."
Autodraw,Design Assistant,https://autodraw.com,Autodraw is an AI tool that allows you to draw faster by guessing what object or shape you intend on drawing.
Vizcom,Design Assistant,https://www.vizcom.ai/,"See your drawings come to life in seconds, not hours."
Dimensions,Design Assistant,https://www.dimensions.ink,"Dimensions helps you turn rough sketches, photos, or even plain text into high-detailed concepts in a few clicks. Focus on creativity, not on endless routine."
StockImg AI,Design Assistant,https://stockimg.ai/,"Text to design service with AI. Generate logos, stock images, posters, book covers, and more designs using AI."
Breeze AI,Design Assistant,https://breeze.ai,Create compelling products photos in seconds with AI
AI2image,Design Assistant,https://www.ai2image.com/,"AI generates your custom image in just a few seconds. You can generate images for your website, blogs or social media from a simple description in English."
AIGraphics,Design Assistant,https://aigraphics.io/,"Create Beautiful, Bespoke Graphics in Seconds with AI. You can use it to create social images, youtube thumbnails, logo ideas, photographs and illustrations."
CandyIcons,"Design Assistant
",https://www.candyicons.com/,"Find beautiful app icons for your product. Access our massive collection of stunning app icons and choose the ones you like best. You get full copyright ownership and unique high-quality icons that support iOS, macOS, and Android projects. There is also a customized favicon generator."
IllostrationAI,"Design Assistant
",https://www.illostration.com,Create AI-generated illustrations. Uniqueness in seconds. We're currently in public beta. Sign up to get early access.
Patterned AI,"Design Assistant
",http://patterned.ai/,AI-generated seamless patterns. Generate customised designs for your product or service using our AI model. You can also search thousands of royalty-free stock images to use immediately for your own designs.
Designify,"Design Assistant
",https://www.designify.com/,"Create automatic designs using your favorite photos. Pick any image to create AI-powered designs by automatically removing backgrounds, enhancing colors, adjusting smart shadows, and so much more. Save, download, or share your designs right away."
CSM,Developer Tools,https://csm.ai/,"Common Sense Machines provides APIs, interfaces, and open source software to translate multi-modal inputs and experiences into a digital simulator for AI training and content creation. We believe that learning generative world models is a systematic path towards achieving AGI, similar to how a child learns about its world from experience."
RunPod,Developer Tools,https://runpod.io,"Rent Cloud GPUs from $0.2/hour. Save over 80% on GPUs. GPU rental made easy with Jupyter for PyTorch, Tensorflow or any other AI framework."
Moonbeam Exchange,Developer Tools,https://moonbeam.ai,Moonbeam Exchange is a data science platform that leverages over 100 data sources to provide intelligence and insight to the entire innovation ecosystem.
Shumai (Meta),Developer Tools,https://github.com,"Shumai is an open-source, fast, network-connected, differentiable tensor library for TypeScript (and JavaScript). Built with bun + flashlight for software engineers and researchers alike."
SyntheticAIdata,Developer Tools,https://syntheticaidata.com,"Accelerate Your Vision AI Model Creation. Synthetic data is an inexpensive alternative to real world data that is used to train and improve AI models. In order to train accurate AI models, a large amount of data is needed. With use of realistic 3D models you can easily create synthetic data for AI classification and object detection."
Chatbotkit,Developer Tools,https://chatbotkit.com,The simplest way to build advanced AI chat bots. Our platform makes it easy for developers and non-developers alike to build chatbots that can communicate with users in natural language.
Pipeline AI,Developer Tools,https://pipeline.ai,Serverless GPU inference for ML models Pay-per-millisecond API to run ML in production.
Nuclia,Developer Tools,https://nuclia.com,"Nuclia automatically indexes your unstructured data from any internal and external source, providing optimized search results. It can handle video and audio transcription, image content extraction, and document parsing."
Tinq.ai - NLP API,Developer Tools,https://tinq.ai,"A set of easy-to-use & cutting-edge NLP APIs. Popular APIs: Text Generation - Rewriter/Paraphraser Summarizer Integrate text analysis that is quick and strong into your apps. From topic categorization to sentiment analysis and entity extraction, we've got you covered. Make it happen in a matter of days, not months! Text analysis: Plagiarism Checker; Custom classifiers; Sentiment Analysis; Named-entity Recognition"
Valyr,Developer Tools,https://valyr.vercel.app,"Simplify GPT-3 monitoring with one line of code. To use, replace the base url with the SDK. Add your OpenAI key to Valyr and view requests in the dashboard."
GPUX.AI,Developer Tools,https://gpux.ai,GPU Everything. Run anything Dockerized. Run autoscale Inference. Save costs 50-90%.
RTutor,Developer Tools,https://tutor.ai,"RTutor is an AI-based app that can quickly generate and test R code. Powered by API calls to OpenAI's Davinci (ChatGPT's sibling), RTutor translates natural languages into R scripts, which are then executed within the Shiny platform. An R Markdown source file and HTML report can be generated. Check out the github repo here: https://github.com/gexijin/RTutor"
Mintlify,Developer Tools,https://mintlify.com,"Build the documentation you've always wanted. Beautiful out of the box, easy to maintain, and optimized for user engagement."
GptDuck,Developer Tools,https://gptduck.com,"Question answering against any Github repository. Input a Github repository, we will download it to the server and create embeddings against the code. Repos need to be public, <200 files, and <100MB."
Textomap,"Developer Tools
",https://textomap.com,"Textomap is a web app and browser extension that enables users to generate interactive maps from any text containing locations in seconds. No code, spreadsheets, or complex tools - your words are enough."
HTTPie AI,"Developer Tools
",https://httpie.io,Generate API requests using plain language. HTTPie is making APIs simple and intuitive for those building the tools of our time.
Quizgecko,Education Assistant,https://quizgecko.com,"AI-Powered Quiz Question Generator. Make your own quiz using artificial intelligence. Perfect for teachers, e-learning and HR professionals. Or just generate unique trivia questions and answers for fun! Simple paste text, enter a URL, or upload a file and hit generate. Pick from multiple choice, short answer, or true/false questions."
WolframAlpha,Education Assistant,https://wolframalpha.com,"Compute expert-level answers using Wolfram’s breakthrough algorithms, knowledgebase, and AI technology. Geared towards the subjects of Mathematics, Science & Technology, Society & Culture, and Everyday Life."
TutorAI,Education Assistant,https://tutorai.me,Tutor AI is an AI-powered learning platform. You can enter any topic and it will provide you with various options you can use to learn about that topic.
MindSmith,Education Assistant,https://mindsmith.ai,"Mindsmith is your laboratory for creating and sharing micro-courses. The world’s changing too quickly to rely on clunky, outdated design software. Whether you’re training teams, teaching classes, or just need a clear way to share your knowledge, use a suite of AI-assisted, intuitive design tools to make your learners successful in industries and disciplines that never stand still."
Yip,Education Assistant,https://yippity.io,Enter your Notes and Yip will generate questions automatically from them.
MateAI,Email Assistant,https://mateai.io,"Generate Copy and Design for your email campaigns, faster. 🇬🇧 🇮🇹 Available in English, Italian and 5 other languages."
Ellie,Email Assistant,https://ellieai.com,Ellie learns from your writing style and crafts replies as if they were written by you.
Ipso AI,Email Assistant,https://ipso.ai,"An AI assistant that uses your calendar to draft email responses for scheduling meetings, powered by GPT3."
Luna,Email Assistant,https://getluna.dev,Personalize Cold Emails Instantly with Luna. Automated messages are dead these days. Get more replies on your cold emails with Luna - World's first software application that uses AI to suggest new high-quality leads every day and send them the personal emails they deserve.
PolitePost,Email Assistant,https://politepost.net,"PolitePost rewrites your emails to be courteous, polite and safe for work. Perfect for when you are feeling frustrated writing emails and need an AI to keep you polite!"
Pipl.ai,Email Assistant,https://pipl.ai,"It is hard to send cold emails at scale. We make it a breeze. Connect unlimited inboxes, enjoy free warm-up for ALL your accounts, built-in email validation and data cleansing, AI-powered sequence & template writer and much more…"
Postaga,Email Assistant,https://postaga.com,Send Cold Email Easier Than Ever Before.
